"date","latitude","longitude","temperature_2m","shortwave_radiation","direct_radiation","diffuse_radiation","direct_normal_irradiance","relative_humidity_2m","dew_point_2m","precipitation","wind_speed_10m","wind_speed_100m","wind_direction_100m","wind_direction_10m","cloud_cover","apparent_temperature","partition_0"
"2025-08-06T06:00:00","40.0795156","-83.0732128","71.61979675292969","0","0.0","0","0.0","88.16395568847656","67.92980194091797","0.0","2.236999988555908","4.803042411804199","207.75845336914062","233.13002014160156","100","77.5958251953125","2025-01-01_2025-11-05"
"2025-08-06T07:00:00","40.0795156","-83.0732128","71.07980346679688","0","0.0","0","0.0","85.44026184082031","66.48979949951172","0.019685039296746","1.309170722961425","4.244409084320068","161.56495666503906","160.0167999267578","100","76.74185180664062","2025-01-01_2025-11-05"
"2025-08-06T08:00:00","40.0795156","-83.0732128","70.08979797363281","0","0.0","0","0.0","93.1572494506836","68.0197982788086","0.035433068871498004","2.742036581039428","6.6595377922058105","119.14797973632812","101.76826477050781","100","75.8990249633789","2025-01-01_2025-11-05"
"2025-08-06T09:00:00","40.0795156","-83.0732128","69.09980010986328","0","0.0","0","0.0","96.0641098022461","67.92980194091797","0.015748031437397","3.594894647598266","8.313096046447754","113.80594635009766","95.3557357788086","100","74.50437927246094","2025-01-01_2025-11-05"
"2025-08-06T10:00:00","40.0795156","-83.0732128","68.64979553222656","0","0.0","0","0.0","95.16642761230469","67.20980072021484","0.0","4.317468166351318","9.55450439453125","117.16490936279297","106.5571517944336","98","73.39239501953125","2025-01-01_2025-11-05"
"2025-08-06T11:00:00","40.0795156","-83.0732128","68.0197982788086","3","0.0","3","0.0","95.45056915283203","66.6697998046875","0.0","4.188031673431396","8.47185230255127","137.6754913330078","124.11451721191406","97","72.55477142333984","2025-01-01_2025-11-05"
"2025-08-06T12:00:00","40.0795156","-83.0732128","69.09980010986328","67","20.0","47","122.79586029052734","93.71016693115234","67.20980072021484","0.0","4.317468166351318","7.697360515594482","144.4622344970703","126.5731201171875","98","73.842041015625","2025-01-01_2025-11-05"
"2025-08-06T13:00:00","40.0795156","-83.0732128","72.60980224609375","251","170.0","81","489.35736083984375","80.12327575683594","66.12979888916016","0.0","2.908100128173828","4.320364475250244","158.74942016601562","157.38009643554688","4","77.42323303222656","2025-01-01_2025-11-05"
"2025-08-06T14:00:00","40.0795156","-83.0732128","75.84980010986328","422","309.0","113","587.318359375","71.88030242919922","66.12979888916016","0.0","3.601847648620605","4.746711730957031","145.5609588623047","143.8417205810547","3","80.3670654296875","2025-01-01_2025-11-05"
"2025-08-06T15:00:00","40.0795156","-83.0732128","78.36979675292969","588","459.0","129","673.5270385742188","63.49152374267578","64.95980072021484","0.0","4.591302871704102","6.020190238952637","144.83348083496094","145.92276000976562","19","82.33600616455078","2025-01-01_2025-11-05"
